thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instruction_.started,text.started,key_resp_2.started,instruction_.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_2.started,text_2.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,FALSE,0.0037287,0.0084034,0.0084034,2.5697949,space,2.5510581,None,,,,,,,,,,,,,,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
0,0,0,y,2.5351771,None,0,0,0,0,2.5775798,,,,,,,,,,2.5703016,2.5775798,3.0765448,3.0765448,3.0765448,5.627823,y,2.5351771,None,,,,,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
1,0,1,y,0.6730962,None,1,0,1,0,5.6433454,,,,,,,,,,5.6281679,5.6433454,6.1432165,6.1432165,6.1432165,6.8275056,y,0.6730962,None,,,,,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
2,0,2,y,0.6532221,None,2,0,2,0,6.8431691,,,,,,,,,,6.8277762,6.8431691,7.3268881,7.3268881,7.3268881,7.9937726,y,0.6532221,None,,,,,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
3,0,3,y,0.641074,None,3,0,3,0,8.0105201,,,,,,,,,,7.9940907,8.0105201,8.4933456,8.4933456,8.4933456,9.144474,y,0.641074,None,,,,,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
4,0,4,y,0.4295105,None,4,0,4,0,9.1606755,,,,,,,,,,9.1447782,9.1606755,9.6596597,9.6596597,9.6596597,10.0940689,y,0.4295105,None,,,,,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98641598,,10.0942663,10.1094992,12.1098844,12.0930929,run 1,1,2026-09-05_15h45.23.136,Simple Reaction TIme 1,,2026.2.2,59.85178303,2026-09-05 15h45.23.292392 +0530
